,fecha,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,gol_l,gol_v,Resultado_v,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
66,2021-09-26,77.67,62.96,68.84,65.56,4-5-1,R. SOCIEDAD,G,1,0,P,ELCHE,4-4-2,70.17,62.0,56.67,69.54,22,9,12
67,2021-09-26,70.5,57.92,67.94,67.61,4-2-3-1,RAYO VALLECANO,G,3,1,P,CADIZ,4-2-3-1,72.5,59.85,65.43,64.6,16,14,13
68,2021-09-26,78.5,58.08,68.25,64.75,4-2-3-1,REAL BETIS,G,2,0,P,GETAFE,5-3-2,77.0,57.43,63.33,63.0,12,9,11
69,2021-09-27,68.0,63.08,67.83,71.94,4-4-2,CELTA,G,1,0,P,GRANADA,4-4-2,71.83,59.33,67.92,67.04,21,15,15
70,2021-10-01,77.17,64.42,69.28,55.56,4-4-2,ATHLETIC,G,1,0,P,DEPORTIVO ALAVES,5-4-1,78.5,58.13,57.0,62.27,34,11,9
71,2021-10-02,72.5,59.67,65.08,66.17,4-5-1,OSASUNA,G,1,0,P,RAYO VALLECANO,4-2-3-1,70.5,57.92,66.14,67.61,12,11,20
72,2021-10-02,68.17,62.25,65.32,65.42,4-2-3-1,MALLORCA,G,1,0,P,LEVANTE,4-4-2,79.0,61.58,62.5,69.67,17,16,17
73,2021-10-02,72.5,60.35,64.73,63.1,4-4-2,CADIZ,E,0,0,E,VALENCIA,4-4-2,79.0,65.71,69.41,64.33,5,7,16
74,2021-10-02,85.83,61.44,75.67,74.56,3-5-2,ATLETICO,G,2,0,P,BARCELONA,4-2-3-1,86.33,64.23,68.06,75.17,78,56,105
75,2021-10-03,70.17,50.71,56.67,67.12,5-3-2,ELCHE,G,1,0,P,CELTA,4-4-2,68.0,63.08,67.83,71.94,14,12,19
76,2021-10-03,72.67,64.47,69.39,70.17,4-2-3-1,ESPANYOL,G,2,1,P,REAL MADRID,4-4-2,81.5,72.42,74.38,73.58,44,36,114
77,2021-10-03,77.0,62.96,64.29,64.0,4-4-2,GETAFE,E,1,1,E,R. SOCIEDAD,4-2-3-1,77.67,60.29,68.84,67.67,12,7,7
78,2021-10-03,76.83,65.17,68.88,68.34,4-4-2,VILLARREAL,G,2,0,P,REAL BETIS,4-2-3-1,76.83,59.13,65.22,64.75,14,10,18
79,2021-10-03,71.83,65.61,67.58,68.17,4-2-3-1,GRANADA,G,1,0,P,SEVILLA,4-3-3,73.0,70.38,69.94,69.28,13,13,27
80,2021-10-16,79.0,66.17,65.17,68.67,4-4-2,LEVANTE,E,0,0,E,GETAFE,4-4-2,77.0,62.96,64.07,65.5,14,15,12
81,2021-10-16,77.67,59.71,68.84,72.5,4-2-3-1,R. SOCIEDAD,G,1,0,P,MALLORCA,4-2-3-1,68.17,61.21,66.99,68.17,25,11,24
82,2021-10-17,70.5,54.25,63.89,67.0,4-2-3-1,RAYO VALLECANO,G,2,1,P,ELCHE,4-4-2,70.17,59.38,60.33,68.21,10,6,25
83,2021-10-17,68.0,62.17,68.67,71.94,4-4-2,CELTA,P,0,1,G,SEVILLA,4-3-3,73.0,68.11,69.97,70.33,45,19,53
84,2021-10-17,76.83,66.29,67.72,70.01,4-5-1,VILLARREAL,P,1,2,G,OSASUNA,5-3-2,72.5,59.69,62.89,66.17,18,8,16
85,2021-10-17,86.33,68.37,68.0,71.75,4-3-3,BARCELONA,G,3,1,P,VALENCIA,4-5-1,79.0,65.42,71.54,65.0,107,57,60
86,2021-10-18,78.5,57.62,59.75,61.86,4-4-2,DEPORTIVO ALAVES,P,0,1,G,REAL BETIS,4-2-3-1,76.83,65.96,70.57,64.33,10,9,17
87,2021-10-18,72.67,62.47,70.17,68.11,4-2-3-1,ESPANYOL,G,2,0,P,CADIZ,4-5-1,72.5,62.63,64.68,64.4,15,10,10
88,2021-12-01,81.5,75.29,73.67,74.33,4-3-3,REAL MADRID,G,1,0,P,ATHLETIC,4-4-2,77.17,63.5,68.7,46.58,117,44,75
89,2021-12-22,71.83,61.75,68.59,67.0,4-4-2,GRANADA,G,2,1,P,ATLETICO,3-5-2,85.83,67.44,74.12,74.56,11,10,34
90,2021-10-22,72.08,61.21,65.33,71.0,4-5-1,OSASUNA,E,1,1,E,GRANADA,4-4-2,71.83,65.61,69.11,69.06,12,6,12
91,2021-10-23,79.0,65.42,71.58,65.46,4-4-2,VALENCIA,E,2,2,E,MALLORCA,4-2-3-1,68.17,61.21,65.42,64.83,38,14,14
92,2021-10-23,72.5,62.63,64.2,63.64,4-4-2,CADIZ,P,0,2,G,DEPORTIVO ALAVES,4-5-1,78.5,57.62,58.17,63.09,12,10,10
93,2021-10-23,70.17,52.04,59.0,67.78,4-4-2,ELCHE,E,2,2,E,ESPANYOL,4-2-3-1,72.67,62.47,70.17,70.0,14,11,18
94,2021-10-23,77.17,64.42,69.28,55.56,4-4-2,ATHLETIC,G,2,1,P,VILLARREAL,4-3-3,76.83,62.46,69.22,70.01,16,15,17
95,2021-10-24,75.0,69.71,70.72,68.89,4-2-3-1,SEVILLA,G,5,3,P,LEVANTE,4-4-2,79.0,66.17,65.17,68.67,21,10,7
96,2021-10-24,86.33,67.65,68.0,71.75,4-3-3,BARCELONA,P,1,2,G,REAL MADRID,4-3-3,81.5,75.29,73.67,72.94,97,52,98
97,2021-10-24,78.5,65.96,69.63,64.75,4-2-3-1,REAL BETIS,G,3,2,P,RAYO VALLECANO,4-2-3-1,70.5,58.37,69.21,67.83,19,13,11
98,2021-10-24,85.83,69.58,74.89,75.83,4-3-3,ATLETICO,E,2,2,E,R. SOCIEDAD,5-3-2,77.67,61.43,70.56,67.42,78,35,47
99,2021-10-25,77.0,62.96,64.07,65.5,4-2-3-1,GETAFE,P,0,3,G,CELTA,4-4-2,68.0,62.17,68.67,71.94,7,7,6
100,2021-10-26,78.5,59.46,61.78,63.09,4-2-3-1,DEPORTIVO ALAVES,G,1,0,P,ELCHE,4-4-2,70.17,62.12,56.67,67.83,11,7,12
101,2021-10-26,72.67,64.5,69.11,67.94,4-2-3-1,ESPANYOL,E,1,1,E,ATHLETIC,4-4-2,77.17,64.67,67.91,67.0,68,41,84
102,2021-10-26,79.67,68.08,66.61,68.95,4-3-3,VILLARREAL,E,3,3,E,CADIZ,4-5-1,72.5,62.63,65.0,65.08,9,3,1
103,2021-10-27,68.17,61.21,65.08,68.17,4-2-3-1,MALLORCA,E,1,1,E,SEVILLA,4-3-3,73.0,71.79,69.06,68.89,19,22,31
104,2021-10-27,70.5,57.92,63.89,67.61,4-2-3-1,RAYO VALLECANO,G,1,0,P,BARCELONA,4-3-3,86.33,68.37,65.95,75.17,4,8,27
105,2021-10-27,78.5,63.75,68.25,63.67,4-2-3-1,REAL BETIS,G,4,1,P,VALENCIA,4-4-2,79.0,66.45,70.72,64.33,39,28,69
106,2021-10-27,81.5,74.88,71.5,74.33,4-3-3,REAL MADRID,E,0,0,E,OSASUNA,5-3-2,72.5,59.69,60.06,65.17,54,17,13
107,2021-10-28,68.0,62.17,68.67,71.94,4-4-2,CELTA,P,0,2,G,R. SOCIEDAD,4-2-3-1,77.83,59.71,70.56,72.5,41,34,54
108,2021-10-28,71.83,66.94,68.35,72.08,4-2-3-1,GRANADA,E,1,1,E,GETAFE,4-4-2,77.0,58.2,65.5,59.0,8,6,3
109,2021-10-28,79.0,59.53,67.22,72.23,5-3-2,LEVANTE,E,2,2,E,ATLETICO,3-6-1,85.83,65.62,73.75,75.58,9,6,21
110,2021-10-30,70.17,62.12,59.0,67.78,4-2-3-1,ELCHE,P,1,2,G,REAL MADRID,4-3-3,81.5,75.25,73.67,71.5,6,11,31
111,2021-10-30,73.0,70.38,71.83,70.89,4-3-3,SEVILLA,G,2,0,P,OSASUNA,4-4-2,66.0,59.92,67.5,71.0,48,25,31
112,2021-10-30,79.0,67.33,69.98,67.94,4-5-1,VALENCIA,G,2,0,P,VILLARREAL,4-4-2,76.83,64.12,69.22,68.67,27,11,19
113,2021-10-30,86.33,67.65,64.8,75.17,4-3-3,BARCELONA,E,1,1,E,DEPORTIVO ALAVES,4-2-3-1,70.67,59.46,59.72,63.71,30,6,7
114,2021-10-31,72.5,63.26,65.0,64.4,4-4-2,CADIZ,E,1,1,E,MALLORCA,4-2-3-1,68.17,61.21,64.32,68.17,17,14,18
115,2021-10-31,85.83,64.71,74.08,75.92,3-6-1,ATLETICO,G,3,0,P,REAL BETIS,4-2-3-1,78.5,62.21,69.46,64.75,68,30,32
116,2021-10-31,77.0,62.2,65.5,59.0,5-3-2,GETAFE,G,2,1,P,ESPANYOL,4-2-3-1,72.67,64.5,69.11,66.11,12,10,12
117,2021-10-31,77.67,60.75,70.56,68.61,4-2-3-1,R. SOCIEDAD,E,1,1,E,ATHLETIC,4-4-2,77.17,68.38,69.28,55.56,57,45,68
118,2021-11-01,70.5,59.92,64.67,67.61,4-2-3-1,RAYO VALLECANO,E,0,0,E,CELTA,4-4-2,68.0,62.42,68.75,71.83,21,16,21
119,2021-11-01,79.0,61.96,71.5,68.67,5-3-2,LEVANTE,P,0,3,G,GRANADA,4-4-2,71.83,62.46,69.11,63.78,23,10,21
120,2021-11-05,77.17,63.5,66.54,73.67,4-4-2,ATHLETIC,P,0,1,G,CADIZ,4-4-2,72.5,60.64,65.0,64.05,16,7,9
121,2021-11-06,72.67,64.5,68.28,69.56,4-5-1,ESPANYOL,G,2,0,P,GRANADA,4-4-2,71.83,62.46,66.86,63.78,23,13,13
122,2021-11-06,68.0,62.17,70.72,72.39,4-4-2,CELTA,E,3,3,E,BARCELONA,4-3-3,86.33,67.06,68.06,71.75,27,30,69
123,2021-11-06,78.5,58.04,59.72,63.09,4-3-3,DEPORTIVO ALAVES,G,2,1,P,LEVANTE,4-4-2,68.33,60.79,72.28,68.67,16,6,6
124,2021-11-06,81.5,74.88,71.5,74.33,4-3-3,REAL MADRID,G,2,1,P,RAYO VALLECANO,4-2-3-1,70.5,57.92,64.48,68.33,29,4,6
125,2021-11-07,76.83,64.12,68.88,69.83,4-4-2,VILLARREAL,G,1,0,P,GETAFE,5-3-2,77.0,58.97,65.5,59.0,23,8,10
126,2021-11-07,79.0,64.04,70.78,70.17,4-5-1,VALENCIA,E,3,3,E,ATLETICO,3-6-1,85.83,64.71,74.08,75.92,67,49,80
127,2021-11-07,68.17,62.25,64.62,64.83,4-2-3-1,MALLORCA,E,2,2,E,ELCHE,4-4-2,73.17,50.96,61.44,67.78,9,13,12
128,2021-11-07,72.5,59.67,62.89,64.56,4-3-3,OSASUNA,P,0,2,G,R. SOCIEDAD,4-3-3,77.67,60.17,70.56,68.06,28,23,54
129,2021-11-07,78.5,61.62,70.24,64.33,4-2-3-1,REAL BETIS,P,0,2,G,SEVILLA,4-3-3,73.0,70.38,69.94,70.89,39,32,63
130,2021-11-19,68.33,66.0,72.28,69.67,4-3-3,LEVANTE,E,0,0,E,ATHLETIC,4-4-2,77.17,67.17,69.28,55.56,8,7,19
131,2021-11-20,68.0,61.5,68.67,71.94,4-4-2,CELTA,E,1,1,E,VILLARREAL,4-2-3-1,76.83,66.25,66.61,61.67,14,6,12
