,portero_l,defensas_l,centrocampistas_l,delanteros_l,alineacion_l,local,Resultado_l,visitante,alineacion_v,portero_v,defensas_v,centrocampistas_v,delanteros_v,victorias_l,empates,victorias_v
36,77.16666666666667,64.66666666666667,67.56944444444444,68.1388888888889,4-2-3-1,ATHLETIC,P,ESPANYOL,4-2-3-1,70.5,62.63041666666667,65.46333333333334,66.33333333333333,85,42,68
37,76.83333333333333,64.875,70.3888888888889,70.79666666666667,4-4-2,VILLARREAL,G,ELCHE,4-4-2,73.16666666666667,62.125,58.61111111111111,66.27777777777777,7,12,7
38,76.41666666666667,62.75,68.46277777777777,66.33333333333333,4-3-3,VALENCIA,G,GETAFE,4-4-2,77.0,62.220416666666665,65.44444444444444,69.05555555555556,18,9,12
39,79.66666666666667,63.92166666666666,64.5,65.72222222222223,4-5-1,REAL VALLADOLID,G,ALMERIA,4-3-3,72.01620370370371,58.47958333333333,60.625,62.833333333333336,9,11,7
40,72.01620370370371,54.29133333333334,63.833333333333336,54.833333333333336,3-6-1,GIRONA,G,REAL VALLADOLID,4-5-1,79.66666666666667,64.54666666666667,65.85416666666667,66.75,6,4,9
41,70.5,60.958333333333336,63.888888888888886,64.11111111111111,4-2-3-1,RAYO VALLECANO,G,VALENCIA,4-3-3,76.41666666666667,65.58333333333333,68.46277777777777,63.833333333333336,8,13,27
42,70.5,61.29708333333334,65.46333333333334,66.33333333333333,4-2-3-1,ESPANYOL,P,SEVILLA,4-3-3,73.0,68.36055555555556,70.26666666666667,68.16666666666667,53,35,80
43,72.5,62.35750000000001,63.416666666666664,66.99416666666666,4-2-3-1,CADIZ,P,BARCELONA,4-3-3,86.33333333333333,63.16625,68.0,74.61111111111111,4,5,19
44,74.0,67.55555555555556,73.33333333333333,73.33333333333333,5-3-2,ATLETICO,G,CELTA,4-4-2,78.83333333333333,59.791666666666664,67.91666666666667,67.75,76,23,28
45,81.5,73.66666666666667,72.22222222222221,73.8888888888889,4-3-3,REAL MADRID,G,MALLORCA,5-3-2,70.33333333333333,62.833333333333336,66.46416666666667,54.5,41,12,15
46,73.16666666666667,60.182500000000005,61.5,65.33333333333333,4-4-2,ELCHE,P,ATHLETIC,4-2-3-1,77.16666666666667,65.625,68.625,68.1388888888889,12,16,22
47,77.0,60.842999999999996,66.68888888888888,64.91666666666667,5-3-2,GETAFE,G,R. SOCIEDAD,4-4-2,77.66666666666667,65.48125,68.83999999999999,65.44444444444446,12,9,7
48,76.83333333333333,61.833333333333336,66.40500000000002,62.777499999999996,4-2-3-1,REAL BETIS,G,VILLARREAL,4-4-2,76.83333333333333,64.875,70.3888888888889,70.79666666666667,18,10,16
49,72.01620370370371,58.47958333333333,62.0,64.0,4-3-3,ALMERIA,P,OSASUNA,4-2-3-1,72.5,59.463750000000005,61.916666666666664,66.83333333333333,7,4,12
50,79.66666666666667,63.67666666666667,64.91666666666667,68.27777777777779,4-3-3,REAL VALLADOLID,P,CADIZ,4-2-3-1,72.5,66.66041666666666,63.416666666666664,66.99416666666666,18,17,17
51,70.33333333333333,63.26666666666667,65.38083333333334,54.5,3-5-2,MALLORCA,G,ALMERIA,5-3-2,72.01620370370371,56.617,61.77777777777777,58.61111111111111,10,6,8
52,86.33333333333333,60.95791666666667,73.16666666666667,75.27777777777777,4-3-3,BARCELONA,G,ELCHE,5-4-1,73.16666666666667,61.62200000000001,51.666666666666664,66.94444444444444,33,12,9
53,76.41666666666667,64.375,66.72222222222223,68.55555555555554,4-3-3,VALENCIA,G,CELTA,4-4-2,78.83333333333333,59.791666666666664,67.16666666666667,68.1111111111111,66,33,36
54,77.16666666666667,68.375,68.625,68.1388888888889,4-2-3-1,ATHLETIC,G,RAYO VALLECANO,4-2-3-1,70.5,60.958333333333336,63.888888888888886,64.11111111111111,20,11,11
55,72.5,59.463750000000005,61.916666666666664,66.83333333333333,4-2-3-1,OSASUNA,P,GETAFE,5-3-2,77.0,58.386,65.5,64.91666666666667,12,14,14
56,76.83333333333333,64.875,70.875,70.58333333333333,4-4-2,VILLARREAL,E,SEVILLA,4-2-3-1,73.0,70.43708333333333,70.26666666666667,64.16666666666667,13,15,26
57,76.83333333333333,63.875,66.40500000000002,62.777499999999996,4-2-3-1,REAL BETIS,G,GIRONA,3-6-1,72.01620370370371,54.29133333333334,63.833333333333336,54.833333333333336,10,1,3
58,77.66666666666667,63.272916666666674,69.83333333333333,67.16666666666667,4-4-2,R. SOCIEDAD,G,ESPANYOL,5-3-2,70.5,61.891999999999996,65.46333333333334,65.33333333333333,62,44,53
59,85.83333333333333,62.583333333333336,73.89999999999999,75.88888888888889,3-5-2,ATLETICO,P,REAL MADRID,4-3-3,81.5,74.875,73.45833333333333,72.75,58,59,113
60,77.16666666666667,68.375,68.625,68.1388888888889,4-2-3-1,ATHLETIC,G,ALMERIA,5-3-2,72.01620370370371,57.034,61.77777777777777,46.5,7,3,2
61,72.5,66.66041666666666,62.583333333333336,66.29166666666667,4-4-2,CADIZ,E,VILLARREAL,4-4-2,76.83333333333333,64.875,70.16666666666667,69.83333333333333,2,4,9
62,77.0,61.71933333333333,65.8,64.91666666666667,5-3-2,GETAFE,P,REAL VALLADOLID,4-3-3,78.16666666666667,63.05166666666667,64.5,69.33333333333333,6,7,8
63,73.0,60.39541666666667,71.875,69.41666666666667,4-2-3-1,SEVILLA,P,ATLETICO,4-5-1,85.83333333333333,62.083333333333336,74.54166666666667,70.91666666666667,59,57,71
64,70.33333333333333,63.26666666666667,63.67250000000001,54.5,5-4-1,MALLORCA,P,BARCELONA,4-3-3,86.33333333333333,66.33291666666666,65.66666666666666,73.0,17,12,40
65,70.5,61.375,65.46333333333334,66.33333333333333,4-2-3-1,ESPANYOL,E,VALENCIA,4-3-3,76.41666666666667,65.58333333333333,66.72222222222223,68.55555555555554,61,36,87
66,78.83333333333333,59.791666666666664,68.375,61.75,4-4-2,CELTA,G,REAL BETIS,4-2-3-1,76.83333333333333,64.0,66.48833333333334,62.777499999999996,27,24,33
67,72.01620370370371,54.29133333333334,62.77777777777777,59.38888888888889,3-6-1,GIRONA,P,R. SOCIEDAD,4-4-2,77.66666666666667,63.272916666666674,69.83333333333333,67.16666666666667,3,5,6
68,70.83333333333333,73.25,69.55555555555556,72.94444444444444,4-3-3,REAL MADRID,E,OSASUNA,4-3-3,72.5,59.463750000000005,62.888888888888886,64.83333333333333,55,18,13
69,70.5,60.958333333333336,63.888888888888886,64.11111111111111,4-2-3-1,RAYO VALLECANO,G,ELCHE,5-3-2,73.16666666666667,65.20833333333333,55.388888888888886,65.75,11,6,26
70,72.5,59.963750000000005,62.54777777777778,64.83333333333333,4-2-3-1,OSASUNA,P,VALENCIA,4-3-3,76.41666666666667,64.375,66.72222222222223,68.6111111111111,19,23,44
